benchmarking,file,topic,description,started_at_time,ended_time,duration_secs,number_of_bytes
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.5097907,1517223213.5925403,0.08274960517883301,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.592779,1517223213.6131616,0.02038264274597168,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.6233788,1517223213.626951,0.003572225570678711,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.6270008,1517223213.6270018,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.6270235,1517223213.6783347,0.05131125450134277,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.6233788,1517223213.6783774,0.05499863624572754,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.678611,1517223213.701125,0.022513866424560547,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.71128,1517223213.7143614,0.0030813217163085938,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.7144063,1517223213.7144072,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.7144258,1517223213.7912338,0.07680797576904297,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.71128,1517223213.7912867,0.08000659942626953,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.791583,1517223213.814204,0.02262091636657715,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.8243973,1517223213.8280754,0.0036780834197998047,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.8281312,1517223213.8281324,1.1920928955078125e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.8281546,1517223213.880663,0.05250835418701172,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.8243973,1517223213.880705,0.05630779266357422,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.8809636,1517223213.897057,0.01609349250793457,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.9072125,1517223213.910206,0.0029935836791992188,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.9102511,1517223213.910252,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.9102714,1517223213.9600167,0.04974532127380371,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.9072125,1517223213.9600573,0.05284476280212402,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.9602919,1517223213.977028,0.01673603057861328,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.9871993,1517223213.990091,0.0028917789459228516,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.9901338,1517223213.9901345,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.9901516,1517223214.0394135,0.04926180839538574,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.9871993,1517223214.0394535,0.05225419998168945,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.03969,1517223214.056228,0.016537904739379883,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223214.0664117,1517223214.0694783,0.003066539764404297,-1
benchmarking,siumulator_no_flask,image_binning,,1517223214.0695205,1517223214.0695214,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223214.0695407,1517223214.1191416,0.049600839614868164,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223214.0664117,1517223214.1191816,0.05276989936828613,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.119411,1517223214.1351216,0.01571059226989746,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223214.1452541,1517223214.148006,0.0027518272399902344,-1
benchmarking,siumulator_no_flask,image_binning,,1517223214.1480494,1517223214.14805,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223214.148068,1517223214.1960993,0.04803133010864258,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223214.1452541,1517223214.1961398,0.050885677337646484,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.1963685,1517223214.214879,0.01851058006286621,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223214.2249706,1517223214.2284386,0.003468036651611328,-1
benchmarking,siumulator_no_flask,image_binning,,1517223214.2285106,1517223214.2285118,1.1920928955078125e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223214.2285426,1517223214.3051739,0.07663130760192871,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223214.2249706,1517223214.3052256,0.08025503158569336,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.3055277,1517223214.3236861,0.018158435821533203,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223214.333894,1517223214.3388553,0.004961252212524414,-1
benchmarking,siumulator_no_flask,image_binning,,1517223214.3389273,1517223214.3389287,1.430511474609375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223214.3389602,1517223214.414862,0.07590174674987793,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223214.333894,1517223214.4149137,0.08101963996887207,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.4152133,1517223214.4363883,0.021174907684326172,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223214.4465828,1517223214.4502451,0.0036623477935791016,-1
benchmarking,siumulator_no_flask,image_binning,,1517223214.4502976,1517223214.4502985,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223214.450321,1517223214.5045178,0.054196834564208984,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223214.4465828,1517223214.5045593,0.057976484298706055,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.5047913,1517223214.526157,0.021365642547607422,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223214.5363367,1517223214.5394504,0.0031137466430664062,-1
benchmarking,siumulator_no_flask,image_binning,,1517223214.5395215,1517223214.5395231,1.6689300537109375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223214.5395544,1517223214.6137342,0.07417988777160645,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223214.5363367,1517223214.6137857,0.07744908332824707,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.6140816,1517223214.632951,0.018869400024414062,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223214.643139,1517223214.6468265,0.003687620162963867,-1
benchmarking,siumulator_no_flask,image_binning,,1517223214.6468804,1517223214.6468813,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223214.646905,1517223214.7020705,0.05516552925109863,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223214.643139,1517223214.7021132,0.058974266052246094,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.7023466,1517223214.7192433,0.016896724700927734,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223214.7294316,1517223214.7324872,0.003055572509765625,-1
benchmarking,siumulator_no_flask,image_binning,,1517223214.7325332,1517223214.732534,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223214.732552,1517223214.7801294,0.0475773811340332,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223214.7294316,1517223214.7801697,0.05073809623718262,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.780397,1517223214.7972581,0.0168612003326416,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223214.8074312,1517223214.8103697,0.002938508987426758,-1
benchmarking,siumulator_no_flask,image_binning,,1517223214.8104122,1517223214.8104131,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223214.8104308,1517223214.88693,0.07649922370910645,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223214.8074312,1517223214.8869824,0.07955121994018555,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.8872812,1517223214.910894,0.02361273765563965,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223214.9210246,1517223214.9245048,0.003480195999145508,-1
benchmarking,siumulator_no_flask,image_binning,,1517223214.9245584,1517223214.9245594,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223214.9245813,1517223214.9771755,0.05259418487548828,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223214.9210246,1517223214.9772158,0.056191205978393555,-1
benchmarking,siumulator_no_flask,stream_file,,1517223214.9774506,1517223214.995876,0.018425464630126953,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223215.006031,1517223215.0099638,0.0039327144622802734,-1
benchmarking,siumulator_no_flask,image_binning,,1517223215.0100374,1517223215.010039,1.6689300537109375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223215.0100706,1517223215.087043,0.07697248458862305,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223215.006031,1517223215.0870998,0.08106875419616699,-1
benchmarking,siumulator_no_flask,stream_file,,1517223215.0873995,1517223215.1106255,0.023226022720336914,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223215.1207855,1517223215.1242795,0.0034940242767333984,-1
benchmarking,siumulator_no_flask,image_binning,,1517223215.12433,1517223215.124331,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223215.1243522,1517223215.1732473,0.04889512062072754,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223215.1207855,1517223215.1732879,0.05250239372253418,-1
benchmarking,siumulator_no_flask,stream_file,,1517223215.1735291,1517223215.19558,0.022050857543945312,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223215.205731,1517223215.2101746,0.004443645477294922,-1
benchmarking,siumulator_no_flask,image_binning,,1517223215.21025,1517223215.2102513,1.430511474609375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223215.2102828,1517223215.286267,0.07598423957824707,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223215.205731,1517223215.286321,0.08059000968933105,-1
benchmarking,siumulator_no_flask,stream_file,,1517223215.2866218,1517223215.3098183,0.02319645881652832,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223215.3200328,1517223215.3242366,0.00420379638671875,-1
benchmarking,siumulator_no_flask,image_binning,,1517223215.3243132,1517223215.3243146,1.430511474609375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223215.3243456,1517223215.4011369,0.07679128646850586,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223215.3200328,1517223215.4011872,0.08115434646606445,-1
benchmarking,siumulator_no_flask,stream_file,,1517223215.4014833,1517223215.424223,0.022739648818969727,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223215.4344032,1517223215.4392717,0.004868507385253906,-1
benchmarking,siumulator_no_flask,image_binning,,1517223215.439347,1517223215.4393487,1.6689300537109375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223215.4393806,1517223215.5154588,0.07607817649841309,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223215.4344032,1517223215.5155122,0.08110904693603516,-1
benchmarking,siumulator_no_flask,stream_file,,1517223215.5158145,1517223215.5403306,0.02451610565185547,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223215.5505066,1517223215.5552416,0.004734992980957031,-1
